Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID104,Authenticity check: QID106,Authenticity check: QID124,Authenticity check: QID125,Authenticity check: QID126,Authenticity check: QID127,Authenticity check: QID128,Authenticity check: QID130,Authenticity check: QID137,Authenticity check: QID138,Authenticity check: QID139,Authenticity check: QID140,Authenticity check: QID141,Authenticity check: QID5,Authenticity check: QID6,Authenticity check: QID93,Authenticity check: QID97,Authenticity check: QID99
693c5e13b5622191ad6b059a,6740b01583cadef1afebeb9d,APPROVED,Not Applicable,2025-12-12T18:25:32.731000Z,2025-12-12T18:43:30.412000Z,2025-12-13T10:56:20.832000Z,2025-12-12T18:43:30.754033Z,1078.0,CCPXUCJH,469,37,Male,Black,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5e1aa59d8346c68071e3,67b795fcea3a1dba350ab9b4,APPROVED,Not Applicable,2025-12-12T18:25:35.977000Z,2025-12-12T18:35:33.403000Z,2025-12-13T10:56:21.256000Z,2025-12-12T18:35:33.726630Z,598.0,CCPXUCJH,1874,27,Male,Other,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5e64a5e04c8715d164fb,666a11d046107a56965a98f5,APPROVED,Not Applicable,2025-12-12T18:26:47.748000Z,2025-12-12T18:40:28.832000Z,2025-12-13T10:56:21.658000Z,2025-12-12T18:40:29.270575Z,822.0,CCPXUCJH,690,25,Male,Other,United States,United States,United States,English,Yes,Part-Time,N/A,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c5e65e9c7324c9360b6f2,66315ae414ac11ed5a57e464,APPROVED,Not Applicable,2025-12-12T18:27:09.565000Z,2025-12-12T18:50:49.473000Z,2025-12-13T10:56:22.075000Z,2025-12-12T18:50:49.822378Z,1420.0,CCPXUCJH,573,42,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5ef5ef5ede04282edfc7,67e051d5736da524dbe7a0c1,APPROVED,Not Applicable,2025-12-12T18:29:09.704000Z,2025-12-12T18:53:06.338000Z,2025-12-13T10:56:22.472000Z,2025-12-12T18:53:06.675991Z,1437.0,CCPXUCJH,684,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,N/A,N/A,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
693c5f7b41476b3445c30a16,675a42d99110f59947a4f393,APPROVED,Not Applicable,2025-12-12T18:31:27.349000Z,2025-12-12T18:39:00.023000Z,2025-12-13T10:56:22.883000Z,2025-12-12T18:39:00.347358Z,453.0,CCPXUCJH,1343,47,Male,White,Australia,United States,Australia,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5f8419e3aecd0e530c69,66786fd4594ab649c244de43,APPROVED,Not Applicable,2025-12-12T18:31:57.707000Z,2025-12-12T18:46:58.586000Z,2025-12-13T10:56:23.293000Z,2025-12-12T18:46:59.118581Z,901.0,CCPXUCJH,994,34,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5f955e3f8f99a28eac2a,67022b62378fdf9d7675d86d,APPROVED,Not Applicable,2025-12-12T18:31:52.397000Z,2025-12-12T18:42:32.870000Z,2025-12-13T10:56:23.698000Z,2025-12-12T18:42:33.354596Z,641.0,CCPXUCJH,1710,46,Male,White,United States,United States,United States,English,No,Other,N/A,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5ffb8262251e3ae0d736,5af36fff59229a0001d1bd6a,APPROVED,Not Applicable,2025-12-12T18:40:47.953000Z,2025-12-12T18:51:38.152000Z,2025-12-13T10:56:24.111000Z,2025-12-12T18:51:38.498660Z,651.0,CCPXUCJH,1444,36,Female,Mixed,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,N/A,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5ffc5036765d3358d834,66a276a145ba9b1f7698e4b2,APPROVED,Not Applicable,2025-12-12T18:33:45.737000Z,2025-12-12T18:50:23.068000Z,2025-12-13T10:56:24.496000Z,2025-12-12T18:50:23.412413Z,998.0,CCPXUCJH,1935,46,Female,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
693c604491e4a64a866472fe,65e092624fd67570ea7e4c36,APPROVED,Not Applicable,2025-12-12T18:34:50.929000Z,2025-12-12T18:49:26.576000Z,2025-12-13T10:56:24.903000Z,2025-12-12T18:49:26.932094Z,876.0,CCPXUCJH,1254,46,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c6082ef5ede04282ee00e,65de86c4043910f19026eff9,APPROVED,Not Applicable,2025-12-12T18:35:52.379000Z,2025-12-12T18:46:28.807000Z,2025-12-13T10:56:25.293000Z,2025-12-12T18:46:29.170366Z,637.0,CCPXUCJH,1655,49,Male,Mixed,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c60ca49e65a27822edf55,663cca6f32da191e05406d21,APPROVED,Not Applicable,2025-12-12T18:37:02.228000Z,2025-12-12T18:45:30.917000Z,2025-12-13T10:56:25.684000Z,2025-12-12T18:45:31.271396Z,509.0,CCPXUCJH,1559,49,Female,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,N/A,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c60d3e39069e3b62d9e12,64011cde71c318c6af604b63,APPROVED,Not Applicable,2025-12-12T18:37:20.491000Z,2025-12-12T18:49:43.055000Z,2025-12-13T10:56:26.094000Z,2025-12-12T18:49:43.384745Z,743.0,CCPXUCJH,157,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c60e81aa05e2479a14e03,5b9056617b384b0001d13167,APPROVED,Not Applicable,2025-12-12T18:37:32.009000Z,2025-12-12T18:47:26.521000Z,2025-12-13T10:56:26.514000Z,2025-12-12T18:47:26.887506Z,595.0,CCPXUCJH,1508,33,Female,White,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c612d5b8020e8acc14bf1,63e548d24319702eba4fc949,APPROVED,Not Applicable,2025-12-12T18:38:41.964000Z,2025-12-12T18:48:17.627000Z,2025-12-13T10:56:26.915000Z,2025-12-12T18:48:17.981975Z,576.0,CCPXUCJH,1283,35,Female,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c614eccfc7f9e83fc1fab,617452347986aeaf4d2e5278,APPROVED,Not Applicable,2025-12-12T18:39:13.878000Z,2025-12-12T18:52:34.398000Z,2025-12-13T10:56:27.301000Z,2025-12-12T18:52:35.119410Z,801.0,CCPXUCJH,637,26,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c6154aed622597c8071f7,63b8342eb371f007b0651c7e,APPROVED,Not Applicable,2025-12-12T18:41:32.424000Z,2025-12-12T19:00:58.451000Z,2025-12-13T10:56:27.683000Z,2025-12-12T19:00:58.903731Z,1167.0,CCPXUCJH,1535,31,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c616eed6bbb96d12a4434,68d47ceef9cefe423772219f,APPROVED,Not Applicable,2025-12-12T18:39:47.268000Z,2025-12-12T18:52:00.318000Z,2025-12-13T10:56:28.071000Z,2025-12-12T18:52:00.941037Z,734.0,CCPXUCJH,728,25,Female,Asian,Korea,United States,Korea,Korean,No,DATA_EXPIRED,N/A,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c6196c9578eb0523024b9,6657711e8946f4ed5f7a08a0,APPROVED,Not Applicable,2025-12-12T18:40:27.743000Z,2025-12-12T18:55:11.626000Z,2025-12-13T10:56:28.445000Z,2025-12-12T18:55:11.958472Z,884.0,CCPXUCJH,1509,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
